"Step","Test run at 20230619-152358 with (32, 64, 128, 256), res: 5 - train_loss","Test run at 20230619-152358 with (32, 64, 128, 256), res: 5 - train_loss__MIN","Test run at 20230619-152358 with (32, 64, 128, 256), res: 5 - train_loss__MAX"
"0","0.9278130835543076","0.9278130835543076","0.9278130835543076"
"1","0.7669806412110726","0.7669806412110726","0.7669806412110726"
"2","0.6811821305503448","0.6811821305503448","0.6811821305503448"
"3","0.5682139024138451","0.5682139024138451","0.5682139024138451"
"4","0.45015808939933777","0.45015808939933777","0.45015808939933777"
"5","0.3249031264955799","0.3249031264955799","0.3249031264955799"
"6","0.26690853278463084","0.26690853278463084","0.26690853278463084"
"7","0.23841217377533516","0.23841217377533516","0.23841217377533516"
"8","0.21993619172523418","0.21993619172523418","0.21993619172523418"
"9","0.21010881445060173","0.21010881445060173","0.21010881445060173"
"10","0.16850935310746232","0.16850935310746232","0.16850935310746232"
"11","0.13917921398145458","0.13917921398145458","0.13917921398145458"
"12","0.1295900729795297","0.1295900729795297","0.1295900729795297"
"13","0.11799160530790687","0.11799160530790687","0.11799160530790687"
"14","0.11714746671107908","0.11714746671107908","0.11714746671107908"
"15","0.10657018632628024","0.10657018632628024","0.10657018632628024"
"16","0.10154578105236094","0.10154578105236094","0.10154578105236094"
"17","0.10679935206038256","0.10679935206038256","0.10679935206038256"
"18","0.10026245152888198","0.10026245152888198","0.10026245152888198"
"19","0.0954422012437135","0.0954422012437135","0.0954422012437135"
