"Step","Test run at 20230619-150708 with (32, 64, 128, 256), res: 5 - train_loss","Test run at 20230619-150708 with (32, 64, 128, 256), res: 5 - train_loss__MIN","Test run at 20230619-150708 with (32, 64, 128, 256), res: 5 - train_loss__MAX"
"0","0.9330606272687083","0.9330606272687083","0.9330606272687083"
"1","0.773290652943694","0.773290652943694","0.773290652943694"
"2","0.6920260100261025","0.6920260100261025","0.6920260100261025"
"3","0.58631371739118","0.58631371739118","0.58631371739118"
"4","0.4894373212819514","0.4894373212819514","0.4894373212819514"
"5","0.36301780880793283","0.36301780880793283","0.36301780880793283"
"6","0.29305439669152966","0.29305439669152966","0.29305439669152966"
"7","0.2508073186744814","0.2508073186744814","0.2508073186744814"
"8","0.23233089579836183","0.23233089579836183","0.23233089579836183"
"9","0.21727210850171422","0.21727210850171422","0.21727210850171422"
"10","0.21053273975849152","0.21053273975849152","0.21053273975849152"
"11","0.17511022544425467","0.17511022544425467","0.17511022544425467"
"12","0.13420868373435477","0.13420868373435477","0.13420868373435477"
"13","0.13226694929534974","0.13226694929534974","0.13226694929534974"
"14","0.11339874031103175","0.11339874031103175","0.11339874031103175"
"15","0.11259034859097522","0.11259034859097522","0.11259034859097522"
"16","0.11277251787807631","0.11277251787807631","0.11277251787807631"
"17","0.10608272602700669","0.10608272602700669","0.10608272602700669"
"18","0.1044835309781458","0.1044835309781458","0.1044835309781458"
"19","0.10284109219260838","0.10284109219260838","0.10284109219260838"
