"Step","Test run at 20230619-154118 with (32, 64, 128, 256), res: 5 - train_loss","Test run at 20230619-154118 with (32, 64, 128, 256), res: 5 - train_loss__MIN","Test run at 20230619-154118 with (32, 64, 128, 256), res: 5 - train_loss__MAX"
"0","0.928341057151556","0.928341057151556","0.928341057151556"
"1","0.7742651818941036","0.7742651818941036","0.7742651818941036"
"2","0.6911976747214794","0.6911976747214794","0.6911976747214794"
"3","0.5800915223856767","0.5800915223856767","0.5800915223856767"
"4","0.46632103870312375","0.46632103870312375","0.46632103870312375"
"5","0.3480655715490381","0.3480655715490381","0.3480655715490381"
"6","0.27775402817254263","0.27775402817254263","0.27775402817254263"
"7","0.24940528208389878","0.24940528208389878","0.24940528208389878"
"8","0.2266305761101345","0.2266305761101345","0.2266305761101345"
"9","0.21652448596432805","0.21652448596432805","0.21652448596432805"
"10","0.20614116437112293","0.20614116437112293","0.20614116437112293"
"11","0.14578758164619407","0.14578758164619407","0.14578758164619407"
"12","0.13536340184509754","0.13536340184509754","0.13536340184509754"
"13","0.12021259947990377","0.12021259947990377","0.12021259947990377"
"14","0.11453014596675833","0.11453014596675833","0.11453014596675833"
"15","0.11064065193446974","0.11064065193446974","0.11064065193446974"
"16","0.10560901757950585","0.10560901757950585","0.10560901757950585"
"17","0.10033757317190369","0.10033757317190369","0.10033757317190369"
"18","0.10543450736440718","0.10543450736440718","0.10543450736440718"
"19","0.10091584300001462","0.10091584300001462","0.10091584300001462"
