"Step","Test run at 20230621-102938 with (16, 32, 64, 128), res: 2 for final model - train_loss","Test run at 20230621-102938 with (16, 32, 64, 128), res: 2 for final model - train_loss__MIN","Test run at 20230621-102938 with (16, 32, 64, 128), res: 2 for final model - train_loss__MAX"
"0","1.5920587467650573","1.5920587467650573","1.5920587467650573"
"1","0.9249353042493264","0.9249353042493264","0.9249353042493264"
"2","0.7942141406238079","0.7942141406238079","0.7942141406238079"
"3","0.7109999638050795","0.7109999638050795","0.7109999638050795"
"4","0.6224524235973755","0.6224524235973755","0.6224524235973755"
"5","0.5242357676227888","0.5242357676227888","0.5242357676227888"
"6","0.43177184586723644","0.43177184586723644","0.43177184586723644"
"7","0.3381933197379112","0.3381933197379112","0.3381933197379112"
"8","0.27626025847469765","0.27626025847469765","0.27626025847469765"
"9","0.22961210661257306","0.22961210661257306","0.22961210661257306"
"10","0.19742963494112095","0.19742963494112095","0.19742963494112095"
"11","0.181767333454142","0.181767333454142","0.181767333454142"
"12","0.1715124280502399","0.1715124280502399","0.1715124280502399"
"13","0.16051253955811262","0.16051253955811262","0.16051253955811262"
"14","0.15732448175549507","0.15732448175549507","0.15732448175549507"
"15","0.14719411560023823","0.14719411560023823","0.14719411560023823"
"16","0.13841798172021905","0.13841798172021905","0.13841798172021905"
"17","0.13638151025710007","0.13638151025710007","0.13638151025710007"
"18","0.13899534746694067","0.13899534746694067","0.13899534746694067"
"19","0.131817607053866","0.131817607053866","0.131817607053866"
