"Step","Test run at 20230615-213452 - train_loss","Test run at 20230615-213452 - train_loss__MIN","Test run at 20230615-213452 - train_loss__MAX"
"0","0.9742701256398073","0.9742701256398073","0.9742701256398073"
"1","0.8425992377025565","0.8425992377025565","0.8425992377025565"
"2","0.7698912141249352","0.7698912141249352","0.7698912141249352"
"3","0.7272723532214607","0.7272723532214607","0.7272723532214607"
"4","0.6810641448522351","0.6810641448522351","0.6810641448522351"
"5","0.6216638641259105","0.6216638641259105","0.6216638641259105"
"6","0.547816176697151","0.547816176697151","0.547816176697151"
"7","0.4706253381734042","0.4706253381734042","0.4706253381734042"
"8","0.3826344775170395","0.3826344775170395","0.3826344775170395"
"9","0.2951094935235289","0.2951094935235289","0.2951094935235289"
"10","0.225474815700472","0.225474815700472","0.225474815700472"
"11","0.19489310589647785","0.19489310589647785","0.19489310589647785"
"12","0.16716047061472825","0.16716047061472825","0.16716047061472825"
"13","0.1512735400003256","0.1512735400003256","0.1512735400003256"
"14","0.141467045416537","0.141467045416537","0.141467045416537"
"15","0.13318435363855557","0.13318435363855557","0.13318435363855557"
"16","0.1257064332513465","0.1257064332513465","0.1257064332513465"
"17","0.11668632509782143","0.11668632509782143","0.11668632509782143"
"18","0.10916383610558264","0.10916383610558264","0.10916383610558264"
"19","0.10852143299026587","0.10852143299026587","0.10852143299026587"
