"Step","Test run at 20230620-092149 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230620-092149 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230620-092149 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.8801804216284501","0.8801804216284501","0.8801804216284501"
"1","0.7349823876431114","0.7349823876431114","0.7349823876431114"
"2","0.6093670211340252","0.6093670211340252","0.6093670211340252"
"3","0.507563254707738","0.507563254707738","0.507563254707738"
"4","0.39471623740698164","0.39471623740698164","0.39471623740698164"
"5","0.25963478072693474","0.25963478072693474","0.25963478072693474"
"6","0.18767617297799963","0.18767617297799963","0.18767617297799963"
"7","0.16677562092479906","0.16677562092479906","0.16677562092479906"
"8","0.14448763822254382","0.14448763822254382","0.14448763822254382"
"9","0.13529210380817713","0.13529210380817713","0.13529210380817713"
"10","0.12462355243532282","0.12462355243532282","0.12462355243532282"
"11","0.11871510618611386","0.11871510618611386","0.11871510618611386"
"12","0.11134963717899825","0.11134963717899825","0.11134963717899825"
"13","0.10818698484646647","0.10818698484646647","0.10818698484646647"
"14","0.10018273192016702","0.10018273192016702","0.10018273192016702"
"15","0.09804960277519728","0.09804960277519728","0.09804960277519728"
"16","0.09694049726975591","0.09694049726975591","0.09694049726975591"
"17","0.09447915954025168","0.09447915954025168","0.09447915954025168"
"18","0.09252577996567676","0.09252577996567676","0.09252577996567676"
"19","0.09287576134267607","0.09287576134267607","0.09287576134267607"
