"Step","Test run at 20230620-090629 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230620-090629 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230620-090629 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.8777595609426498","0.8777595609426498","0.8777595609426498"
"1","0.7291089985519648","0.7291089985519648","0.7291089985519648"
"2","0.6092285811901093","0.6092285811901093","0.6092285811901093"
"3","0.5074721357474724","0.5074721357474724","0.5074721357474724"
"4","0.4126399463663499","0.4126399463663499","0.4126399463663499"
"5","0.26237697262937826","0.26237697262937826","0.26237697262937826"
"6","0.19230716939394674","0.19230716939394674","0.19230716939394674"
"7","0.16062311362475157","0.16062311362475157","0.16062311362475157"
"8","0.1420627349677185","0.1420627349677185","0.1420627349677185"
"9","0.12887058492439488","0.12887058492439488","0.12887058492439488"
"10","0.1268851802839587","0.1268851802839587","0.1268851802839587"
"11","0.11295980641928811","0.11295980641928811","0.11295980641928811"
"12","0.11077974077003698","0.11077974077003698","0.11077974077003698"
"13","0.1045086815332373","0.1045086815332373","0.1045086815332373"
"14","0.10306009968432288","0.10306009968432288","0.10306009968432288"
"15","0.09867350120718281","0.09867350120718281","0.09867350120718281"
"16","0.09544816985726357","0.09544816985726357","0.09544816985726357"
"17","0.09209180429267387","0.09209180429267387","0.09209180429267387"
"18","0.09137856463591258","0.09137856463591258","0.09137856463591258"
"19","0.08741710164273779","0.08741710164273779","0.08741710164273779"
