"Step","Test run at 20230619-164203 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230619-164203 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230619-164203 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.9356201154490312","0.9356201154490312","0.9356201154490312"
"1","0.7645724986990293","0.7645724986990293","0.7645724986990293"
"2","0.6868334083507458","0.6868334083507458","0.6868334083507458"
"3","0.5747973813364903","0.5747973813364903","0.5747973813364903"
"4","0.44051155510048073","0.44051155510048073","0.44051155510048073"
"5","0.30209935223683715","0.30209935223683715","0.30209935223683715"
"6","0.21332654170691967","0.21332654170691967","0.21332654170691967"
"7","0.1762000834569335","0.1762000834569335","0.1762000834569335"
"8","0.15397382356847325","0.15397382356847325","0.15397382356847325"
"9","0.1378518040291965","0.1378518040291965","0.1378518040291965"
"10","0.13024636544287205","0.13024636544287205","0.13024636544287205"
"11","0.12118108477443457","0.12118108477443457","0.12118108477443457"
"12","0.11235678560721378","0.11235678560721378","0.11235678560721378"
"13","0.10603694415961702","0.10603694415961702","0.10603694415961702"
"14","0.10544258720862369","0.10544258720862369","0.10544258720862369"
"15","0.10534474059628944","0.10534474059628944","0.10534474059628944"
"16","0.09804353692258398","0.09804353692258398","0.09804353692258398"
"17","0.09410470242922504","0.09410470242922504","0.09410470242922504"
"18","0.09180646164653201","0.09180646164653201","0.09180646164653201"
"19","0.09122179658152163","0.09122179658152163","0.09122179658152163"
