"Step","Test run at 20230619-171326 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230619-171326 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230619-171326 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.9299408696135696","0.9299408696135696","0.9299408696135696"
"1","0.7583470253311858","0.7583470253311858","0.7583470253311858"
"2","0.6833683234088275","0.6833683234088275","0.6833683234088275"
"3","0.5679993662907152","0.5679993662907152","0.5679993662907152"
"4","0.4378764562460841","0.4378764562460841","0.4378764562460841"
"5","0.29885741733774845","0.29885741733774845","0.29885741733774845"
"6","0.2124189346724627","0.2124189346724627","0.2124189346724627"
"7","0.17583108069945355","0.17583108069945355","0.17583108069945355"
"8","0.15827252525760202","0.15827252525760202","0.15827252525760202"
"9","0.1381090472699428","0.1381090472699428","0.1381090472699428"
"10","0.1414458675652134","0.1414458675652134","0.1414458675652134"
"11","0.11972292664707923","0.11972292664707923","0.11972292664707923"
"12","0.11598950844942307","0.11598950844942307","0.11598950844942307"
"13","0.10836395522465511","0.10836395522465511","0.10836395522465511"
"14","0.10564633458852768","0.10564633458852768","0.10564633458852768"
"15","0.10066825881296275","0.10066825881296275","0.10066825881296275"
"16","0.09837577028238044","0.09837577028238044","0.09837577028238044"
"17","0.09393050886538563","0.09393050886538563","0.09393050886538563"
"18","0.09209289911146067","0.09209289911146067","0.09209289911146067"
"19","0.09169795599823095","0.09169795599823095","0.09169795599823095"
