"Step","Test run at 20230619-165745 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230619-165745 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230619-165745 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.9367200920456334","0.9367200920456334","0.9367200920456334"
"1","0.762733939446901","0.762733939446901","0.762733939446901"
"2","0.689370070005718","0.689370070005718","0.689370070005718"
"3","0.5771012714034632","0.5771012714034632","0.5771012714034632"
"4","0.45076595827152854","0.45076595827152854","0.45076595827152854"
"5","0.31710336663221056","0.31710336663221056","0.31710336663221056"
"6","0.22832219569306625","0.22832219569306625","0.22832219569306625"
"7","0.18185069388464878","0.18185069388464878","0.18185069388464878"
"8","0.15962930509918613","0.15962930509918613","0.15962930509918613"
"9","0.14480225114445938","0.14480225114445938","0.14480225114445938"
"10","0.13200968025546325","0.13200968025546325","0.13200968025546325"
"11","0.12808753761805985","0.12808753761805985","0.12808753761805985"
"12","0.12354171542744888","0.12354171542744888","0.12354171542744888"
"13","0.1149489440416035","0.1149489440416035","0.1149489440416035"
"14","0.1109226129556957","0.1109226129556957","0.1109226129556957"
"15","0.10381500187673066","0.10381500187673066","0.10381500187673066"
"16","0.09924881403383455","0.09924881403383455","0.09924881403383455"
"17","0.09746183933396088","0.09746183933396088","0.09746183933396088"
"18","0.10161685182860022","0.10161685182860022","0.10161685182860022"
"19","0.10537759167583365","0.10537759167583365","0.10537759167583365"
