"Step","Test run at 20230619-161109 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230619-161109 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230619-161109 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.9338255367780987","0.9338255367780987","0.9338255367780987"
"1","0.7696482871708117","0.7696482871708117","0.7696482871708117"
"2","0.6861634530519184","0.6861634530519184","0.6861634530519184"
"3","0.5643848688978897","0.5643848688978897","0.5643848688978897"
"4","0.40296708878717924","0.40296708878717924","0.40296708878717924"
"5","0.26589696689655906","0.26589696689655906","0.26589696689655906"
"6","0.20424228294899588","0.20424228294899588","0.20424228294899588"
"7","0.17165537445168746","0.17165537445168746","0.17165537445168746"
"8","0.15524110684269352","0.15524110684269352","0.15524110684269352"
"9","0.13913122933161887","0.13913122933161887","0.13913122933161887"
"10","0.13264335440961939","0.13264335440961939","0.13264335440961939"
"11","0.12140275247787174","0.12140275247787174","0.12140275247787174"
"12","0.118840407697778","0.118840407697778","0.118840407697778"
"13","0.1102518513014442","0.1102518513014442","0.1102518513014442"
"14","0.1074441953709251","0.1074441953709251","0.1074441953709251"
"15","0.1028656216044175","0.1028656216044175","0.1028656216044175"
"16","0.10148964908562208","0.10148964908562208","0.10148964908562208"
"17","0.0981954046770146","0.0981954046770146","0.0981954046770146"
"18","0.09443605534340206","0.09443605534340206","0.09443605534340206"
"19","0.09180025991640593","0.09180025991640593","0.09180025991640593"
