"Step","Test run at 20230615-222046 - train_loss","Test run at 20230615-222046 - train_loss__MIN","Test run at 20230615-222046 - train_loss__MAX"
"0","0.9377324794468127","0.9377324794468127","0.9377324794468127"
"1","0.7849673917419032","0.7849673917419032","0.7849673917419032"
"2","0.7191786728407207","0.7191786728407207","0.7191786728407207"
"3","0.6541656519237318","0.6541656519237318","0.6541656519237318"
"4","0.5668920316194234","0.5668920316194234","0.5668920316194234"
"5","0.5012603888386175","0.5012603888386175","0.5012603888386175"
"6","0.384921364721499","0.384921364721499","0.384921364721499"
"7","0.2435581911551325","0.2435581911551325","0.2435581911551325"
"8","0.19041991249511117","0.19041991249511117","0.19041991249511117"
"9","0.16169344657345822","0.16169344657345822","0.16169344657345822"
"10","0.14868870628507513","0.14868870628507513","0.14868870628507513"
"11","0.13578533475336277","0.13578533475336277","0.13578533475336277"
"12","0.12590135171225197","0.12590135171225197","0.12590135171225197"
"13","0.11679072489863948","0.11679072489863948","0.11679072489863948"
"14","0.11228351483219548","0.11228351483219548","0.11228351483219548"
"15","0.10777827046419444","0.10777827046419444","0.10777827046419444"
"16","0.10541788629795376","0.10541788629795376","0.10541788629795376"
"17","0.10362119706053483","0.10362119706053483","0.10362119706053483"
"18","0.0993266282112975","0.0993266282112975","0.0993266282112975"
"19","0.096855234393948","0.096855234393948","0.096855234393948"
