"Step","Test run at 20230615-225116 - train_loss","Test run at 20230615-225116 - train_loss__MIN","Test run at 20230615-225116 - train_loss__MAX"
"0","0.93820931095826","0.93820931095826","0.93820931095826"
"1","0.7826079249382019","0.7826079249382019","0.7826079249382019"
"2","0.7170033285492345","0.7170033285492345","0.7170033285492345"
"3","0.648823292631852","0.648823292631852","0.648823292631852"
"4","0.5652429197963915","0.5652429197963915","0.5652429197963915"
"5","0.48030100809900383","0.48030100809900383","0.48030100809900383"
"6","0.315987408004309","0.315987408004309","0.315987408004309"
"7","0.22010836883595114","0.22010836883595114","0.22010836883595114"
"8","0.17688089530718953","0.17688089530718953","0.17688089530718953"
"9","0.1517220228910446","0.1517220228910446","0.1517220228910446"
"10","0.13699742108583451","0.13699742108583451","0.13699742108583451"
"11","0.13071392288333492","0.13071392288333492","0.13071392288333492"
"12","0.11823800535578477","0.11823800535578477","0.11823800535578477"
"13","0.1124651941029649","0.1124651941029649","0.1124651941029649"
"14","0.10739433883052123","0.10739433883052123","0.10739433883052123"
"15","0.10345524235775597","0.10345524235775597","0.10345524235775597"
"16","0.09963422684293044","0.09963422684293044","0.09963422684293044"
"17","0.09649901993964848","0.09649901993964848","0.09649901993964848"
"18","0.09395848379323357","0.09395848379323357","0.09395848379323357"
"19","0.09179865780629609","0.09179865780629609","0.09179865780629609"
