"Step","Test run at 20230619-182135 with (16, 32, 64, 128), res: 5 - train_loss","Test run at 20230619-182135 with (16, 32, 64, 128), res: 5 - train_loss__MIN","Test run at 20230619-182135 with (16, 32, 64, 128), res: 5 - train_loss__MAX"
"0","0.9049619530376635","0.9049619530376635","0.9049619530376635"
"1","0.7589087021978278","0.7589087021978278","0.7589087021978278"
"2","0.6825986636312384","0.6825986636312384","0.6825986636312384"
"3","0.5570959809579348","0.5570959809579348","0.5570959809579348"
"4","0.39761691814974737","0.39761691814974737","0.39761691814974737"
"5","0.2706012402710162","0.2706012402710162","0.2706012402710162"
"6","0.205342970866906","0.205342970866906","0.205342970866906"
"7","0.18212969303131105","0.18212969303131105","0.18212969303131105"
"8","0.15671759224251697","0.15671759224251697","0.15671759224251697"
"9","0.14737650210920133","0.14737650210920133","0.14737650210920133"
"10","0.14018444928683732","0.14018444928683732","0.14018444928683732"
"11","0.12759221117747457","0.12759221117747457","0.12759221117747457"
"12","0.11711693806083578","0.11711693806083578","0.11711693806083578"
"13","0.11293713168094033","0.11293713168094033","0.11293713168094033"
"14","0.11581132694294578","0.11581132694294578","0.11581132694294578"
"15","0.10662167440903814","0.10662167440903814","0.10662167440903814"
"16","0.10599407945808612","0.10599407945808612","0.10599407945808612"
"17","0.1108271474116727","0.1108271474116727","0.1108271474116727"
"18","0.10790586322546006","0.10790586322546006","0.10790586322546006"
"19","0.09866003676464682","0.09866003676464682","0.09866003676464682"
