"Step","Test run at 20230619-180422 with (16, 32, 64, 128), res: 5 - train_loss","Test run at 20230619-180422 with (16, 32, 64, 128), res: 5 - train_loss__MIN","Test run at 20230619-180422 with (16, 32, 64, 128), res: 5 - train_loss__MAX"
"0","0.9077657251916034","0.9077657251916034","0.9077657251916034"
"1","0.7660292234826596","0.7660292234826596","0.7660292234826596"
"2","0.6884343681183267","0.6884343681183267","0.6884343681183267"
"3","0.5683177402044864","0.5683177402044864","0.5683177402044864"
"4","0.4477787258777213","0.4477787258777213","0.4477787258777213"
"5","0.3215451548074154","0.3215451548074154","0.3215451548074154"
"6","0.2371845670202945","0.2371845670202945","0.2371845670202945"
"7","0.19514818965120517","0.19514818965120517","0.19514818965120517"
"8","0.1628126173894456","0.1628126173894456","0.1628126173894456"
"9","0.15234628628860128","0.15234628628860128","0.15234628628860128"
"10","0.13657173546070747","0.13657173546070747","0.13657173546070747"
"11","0.1321958750486374","0.1321958750486374","0.1321958750486374"
"12","0.11994200350439295","0.11994200350439295","0.11994200350439295"
"13","0.11270302898706273","0.11270302898706273","0.11270302898706273"
"14","0.11070330892788603","0.11070330892788603","0.11070330892788603"
"15","0.10418342418493108","0.10418342418493108","0.10418342418493108"
"16","0.10375341305390318","0.10375341305390318","0.10375341305390318"
"17","0.0991408127419492","0.0991408127419492","0.0991408127419492"
"18","0.10187937382687913","0.10187937382687913","0.10187937382687913"
"19","0.09566293736087515","0.09566293736087515","0.09566293736087515"
