"Step","Test run at 20230619-183811 with (16, 32, 64, 128), res: 5 - train_loss","Test run at 20230619-183811 with (16, 32, 64, 128), res: 5 - train_loss__MIN","Test run at 20230619-183811 with (16, 32, 64, 128), res: 5 - train_loss__MAX"
"0","0.9059945220748583","0.9059945220748583","0.9059945220748583"
"1","0.7595327701419592","0.7595327701419592","0.7595327701419592"
"2","0.68059081522127","0.68059081522127","0.68059081522127"
"3","0.5526574285080036","0.5526574285080036","0.5526574285080036"
"4","0.4034808489183585","0.4034808489183585","0.4034808489183585"
"5","0.2727842388364176","0.2727842388364176","0.2727842388364176"
"6","0.21272454100350538","0.21272454100350538","0.21272454100350538"
"7","0.18829372245818377","0.18829372245818377","0.18829372245818377"
"8","0.16091284280021986","0.16091284280021986","0.16091284280021986"
"9","0.1480941231517742","0.1480941231517742","0.1480941231517742"
"10","0.1413923519818733","0.1413923519818733","0.1413923519818733"
"11","0.13536319703174135","0.13536319703174135","0.13536319703174135"
"12","0.12190411984920502","0.12190411984920502","0.12190411984920502"
"13","0.1169566228830566","0.1169566228830566","0.1169566228830566"
"14","0.11685045583484073","0.11685045583484073","0.11685045583484073"
"15","0.10769584806015094","0.10769584806015094","0.10769584806015094"
"16","0.10478168904470901","0.10478168904470901","0.10478168904470901"
"17","0.10153092226634423","0.10153092226634423","0.10153092226634423"
"18","0.0993893111590296","0.0993893111590296","0.0993893111590296"
"19","0.09836039311873417","0.09836039311873417","0.09836039311873417"
