"Step","Test run at 20230615-164802 - train_loss","Test run at 20230615-164802 - train_loss__MIN","Test run at 20230615-164802 - train_loss__MAX"
"0","0.7671096459511788","0.7671096459511788","0.7671096459511788"
"1","0.726873536904653","0.726873536904653","0.726873536904653"
"2","0.5844904312523462","0.5844904312523462","0.5844904312523462"
"3","0.38145580118702305","0.38145580118702305","0.38145580118702305"
"4","0.2828842206026918","0.2828842206026918","0.2828842206026918"
"5","0.2112662233011697","0.2112662233011697","0.2112662233011697"
"6","0.18738062775904132","0.18738062775904132","0.18738062775904132"
"7","0.17632090676856296","0.17632090676856296","0.17632090676856296"
"8","0.16708345534980937","0.16708345534980937","0.16708345534980937"
"9","0.16108125993000563","0.16108125993000563","0.16108125993000563"
"10","0.1638721892590164","0.1638721892590164","0.1638721892590164"
"11","0.15902034041061197","0.15902034041061197","0.15902034041061197"
"12","0.15272027574559693","0.15272027574559693","0.15272027574559693"
"13","0.15207445525353955","0.15207445525353955","0.15207445525353955"
"14","0.14983190900535995","0.14983190900535995","0.14983190900535995"
"15","0.14727694356954227","0.14727694356954227","0.14727694356954227"
"16","0.14737227847499232","0.14737227847499232","0.14737227847499232"
"17","0.147462809278119","0.147462809278119","0.147462809278119"
"18","0.14511791015824965","0.14511791015824965","0.14511791015824965"
"19","0.1431031882442454","0.1431031882442454","0.1431031882442454"
