"Step","Test run at 20230615-170318 - train_loss","Test run at 20230615-170318 - train_loss__MIN","Test run at 20230615-170318 - train_loss__MAX"
"0","0.7650675152994922","0.7650675152994922","0.7650675152994922"
"1","0.7021557424486298","0.7021557424486298","0.7021557424486298"
"2","0.5680126412627623","0.5680126412627623","0.5680126412627623"
"3","0.3594762059216647","0.3594762059216647","0.3594762059216647"
"4","0.24917206244984852","0.24917206244984852","0.24917206244984852"
"5","0.2024833051507006","0.2024833051507006","0.2024833051507006"
"6","0.1841105359424021","0.1841105359424021","0.1841105359424021"
"7","0.17513185278656557","0.17513185278656557","0.17513185278656557"
"8","0.16906334367609516","0.16906334367609516","0.16906334367609516"
"9","0.16293037936245044","0.16293037936245044","0.16293037936245044"
"10","0.15881148702705028","0.15881148702705028","0.15881148702705028"
"11","0.1675675531330797","0.1675675531330797","0.1675675531330797"
"12","0.15267668065336562","0.15267668065336562","0.15267668065336562"
"13","0.14909981160434252","0.14909981160434252","0.14909981160434252"
"14","0.1497964112414527","0.1497964112414527","0.1497964112414527"
"15","0.14754606552959718","0.14754606552959718","0.14754606552959718"
"16","0.14693886610036044","0.14693886610036044","0.14693886610036044"
"17","0.1459707745264486","0.1459707745264486","0.1459707745264486"
"18","0.1442246114470295","0.1442246114470295","0.1442246114470295"
"19","0.14315688441094665","0.14315688441094665","0.14315688441094665"
