"Step","Test run at 20230615-173429 - train_loss","Test run at 20230615-173429 - train_loss__MIN","Test run at 20230615-173429 - train_loss__MAX"
"0","0.7658087466892444","0.7658087466892444","0.7658087466892444"
"1","0.7066156136362176","0.7066156136362176","0.7066156136362176"
"2","0.5751983968835128","0.5751983968835128","0.5751983968835128"
"3","0.3510003852216821","0.3510003852216821","0.3510003852216821"
"4","0.24114986767894345","0.24114986767894345","0.24114986767894345"
"5","0.20819024945560255","0.20819024945560255","0.20819024945560255"
"6","0.1926920495535198","0.1926920495535198","0.1926920495535198"
"7","0.17975065786587566","0.17975065786587566","0.17975065786587566"
"8","0.17291665547772458","0.17291665547772458","0.17291665547772458"
"9","0.1711109310388565","0.1711109310388565","0.1711109310388565"
"10","0.16185353853200612","0.16185353853200612","0.16185353853200612"
"11","0.16023951266941272","0.16023951266941272","0.16023951266941272"
"12","0.15823866489686464","0.15823866489686464","0.15823866489686464"
"13","0.11125995563833337","0.11125995563833337","0.11125995563833337"
"14","0.09703960152048814","0.09703960152048814","0.09703960152048814"
"15","0.0966032508172487","0.0966032508172487","0.0966032508172487"
"16","0.09335974658790387","0.09335974658790387","0.09335974658790387"
"17","0.08767159879207612","0.08767159879207612","0.08767159879207612"
"18","0.08459487055477342","0.08459487055477342","0.08459487055477342"
"19","0.08522938035036388","0.08522938035036388","0.08522938035036388"
