"Step","Test run at 20230615-211938 - train_loss","Test run at 20230615-211938 - train_loss__MIN","Test run at 20230615-211938 - train_loss__MAX"
"0","0.9755756209294001","0.9755756209294001","0.9755756209294001"
"1","0.843818993618091","0.843818993618091","0.843818993618091"
"2","0.7706378449996313","0.7706378449996313","0.7706378449996313"
"3","0.7259242087602615","0.7259242087602615","0.7259242087602615"
"4","0.6810232872764269","0.6810232872764269","0.6810232872764269"
"5","0.6236561400194963","0.6236561400194963","0.6236561400194963"
"6","0.5571945179253817","0.5571945179253817","0.5571945179253817"
"7","0.4810927767927448","0.4810927767927448","0.4810927767927448"
"8","0.40821865294128656","0.40821865294128656","0.40821865294128656"
"9","0.3122929682334264","0.3122929682334264","0.3122929682334264"
"10","0.24684184060121575","0.24684184060121575","0.24684184060121575"
"11","0.20712046154464284","0.20712046154464284","0.20712046154464284"
"12","0.1798428346713384","0.1798428346713384","0.1798428346713384"
"13","0.15526705980300903","0.15526705980300903","0.15526705980300903"
"14","0.1518397938925773","0.1518397938925773","0.1518397938925773"
"15","0.13937285868451","0.13937285868451","0.13937285868451"
"16","0.12647914257831872","0.12647914257831872","0.12647914257831872"
"17","0.12099218958367904","0.12099218958367904","0.12099218958367904"
"18","0.1135531289037317","0.1135531289037317","0.1135531289037317"
"19","0.10737259569577873","0.10737259569577873","0.10737259569577873"
