"Step","Test run at 20230616-000725 - train_loss","Test run at 20230616-000725 - train_loss__MIN","Test run at 20230616-000725 - train_loss__MAX"
"0","0.915706974764665","0.915706974764665","0.915706974764665"
"1","0.7599406310667595","0.7599406310667595","0.7599406310667595"
"2","0.6853107089797655","0.6853107089797655","0.6853107089797655"
"3","0.582886510839065","0.582886510839065","0.582886510839065"
"4","0.5044811029608051","0.5044811029608051","0.5044811029608051"
"5","0.40373272572954494","0.40373272572954494","0.40373272572954494"
"6","0.23887917958199978","0.23887917958199978","0.23887917958199978"
"7","0.180409738017867","0.180409738017867","0.180409738017867"
"8","0.15508968452923","0.15508968452923","0.15508968452923"
"9","0.13951185648329556","0.13951185648329556","0.13951185648329556"
"10","0.12510884599760175","0.12510884599760175","0.12510884599760175"
"11","0.12100896425545216","0.12100896425545216","0.12100896425545216"
"12","0.11124113722083469","0.11124113722083469","0.11124113722083469"
"13","0.1041883931029588","0.1041883931029588","0.1041883931029588"
"14","0.10039192958114047","0.10039192958114047","0.10039192958114047"
"15","0.10063917577887575","0.10063917577887575","0.10063917577887575"
"16","0.10098947708805402","0.10098947708805402","0.10098947708805402"
"17","0.0952449905841301","0.0952449905841301","0.0952449905841301"
"18","0.09004563675262034","0.09004563675262034","0.09004563675262034"
"19","0.08796873952572544","0.08796873952572544","0.08796873952572544"
