"Step","Test run at 20230619-130723 - train_loss","Test run at 20230619-130723 - train_loss__MIN","Test run at 20230619-130723 - train_loss__MAX"
"0","0.9262799729583084","0.9262799729583084","0.9262799729583084"
"1","0.7835019852525444","0.7835019852525444","0.7835019852525444"
"2","0.699243200081651","0.699243200081651","0.699243200081651"
"3","0.5582952188548221","0.5582952188548221","0.5582952188548221"
"4","0.3760413581966072","0.3760413581966072","0.3760413581966072"
"5","0.258222815170083","0.258222815170083","0.258222815170083"
"6","0.1985467085915227","0.1985467085915227","0.1985467085915227"
"7","0.16609767624126967","0.16609767624126967","0.16609767624126967"
"8","0.1484448296889182","0.1484448296889182","0.1484448296889182"
"9","0.13506178437702118","0.13506178437702118","0.13506178437702118"
"10","0.12256336580681544","0.12256336580681544","0.12256336580681544"
"11","0.11522205999141098","0.11522205999141098","0.11522205999141098"
"12","0.10766421202369915","0.10766421202369915","0.10766421202369915"
"13","0.1049563513808353","0.1049563513808353","0.1049563513808353"
"14","0.10481914060731087","0.10481914060731087","0.10481914060731087"
"15","0.09676637732854454","0.09676637732854454","0.09676637732854454"
"16","0.09387996808816028","0.09387996808816028","0.09387996808816028"
"17","0.0894108120632428","0.0894108120632428","0.0894108120632428"
"18","0.09078190748089103","0.09078190748089103","0.09078190748089103"
"19","0.08738401091547422","0.08738401091547422","0.08738401091547422"
