"Step","Test run at 20230619-135655 - train_loss","Test run at 20230619-135655 - train_loss__MIN","Test run at 20230619-135655 - train_loss__MAX"
"0","0.8965747098332828","0.8965747098332828","0.8965747098332828"
"1","0.7509970621964366","0.7509970621964366","0.7509970621964366"
"2","0.6614381972047472","0.6614381972047472","0.6614381972047472"
"3","0.5512842182646093","0.5512842182646093","0.5512842182646093"
"4","0.45993456060124427","0.45993456060124427","0.45993456060124427"
"5","0.34807108711336077","0.34807108711336077","0.34807108711336077"
"6","0.21703753797049374","0.21703753797049374","0.21703753797049374"
"7","0.1705492863950041","0.1705492863950041","0.1705492863950041"
"8","0.1514416920770075","0.1514416920770075","0.1514416920770075"
"9","0.12948703450947693","0.12948703450947693","0.12948703450947693"
"10","0.12254184699550118","0.12254184699550118","0.12254184699550118"
"11","0.11152854723106954","0.11152854723106954","0.11152854723106954"
"12","0.11495919402727146","0.11495919402727146","0.11495919402727146"
"13","0.10470474841668434","0.10470474841668434","0.10470474841668434"
"14","0.09857266019914568","0.09857266019914568","0.09857266019914568"
"15","0.09698920589439648","0.09698920589439648","0.09698920589439648"
"16","0.09436842975849957","0.09436842975849957","0.09436842975849957"
"17","0.09130394773692199","0.09130394773692199","0.09130394773692199"
"18","0.08950817838464815","0.08950817838464815","0.08950817838464815"
"19","0.08549874437224005","0.08549874437224005","0.08549874437224005"
