"Step","Test run at 20230619-141333 - train_loss","Test run at 20230619-141333 - train_loss__MIN","Test run at 20230619-141333 - train_loss__MAX"
"0","0.897672655681769","0.897672655681769","0.897672655681769"
"1","0.7564249423642954","0.7564249423642954","0.7564249423642954"
"2","0.6728873215615749","0.6728873215615749","0.6728873215615749"
"3","0.5731535383189718","0.5731535383189718","0.5731535383189718"
"4","0.4735129705319802","0.4735129705319802","0.4735129705319802"
"5","0.4118621936067939","0.4118621936067939","0.4118621936067939"
"6","0.28281395277008414","0.28281395277008414","0.28281395277008414"
"7","0.19576020942380032","0.19576020942380032","0.19576020942380032"
"8","0.15595782020439705","0.15595782020439705","0.15595782020439705"
"9","0.14207580142344037","0.14207580142344037","0.14207580142344037"
"10","0.12744213066374263","0.12744213066374263","0.12744213066374263"
"11","0.11751371932526429","0.11751371932526429","0.11751371932526429"
"12","0.11355878350635369","0.11355878350635369","0.11355878350635369"
"13","0.10422376869246364","0.10422376869246364","0.10422376869246364"
"14","0.10016854883482058","0.10016854883482058","0.10016854883482058"
"15","0.10025600739754736","0.10025600739754736","0.10025600739754736"
"16","0.09643360956882437","0.09643360956882437","0.09643360956882437"
"17","0.09113816823810339","0.09113816823810339","0.09113816823810339"
"18","0.09171331363419692","0.09171331363419692","0.09171331363419692"
"19","0.09361453967479368","0.09361453967479368","0.09361453967479368"
