"Step","Test run at 20230620-083549 with (16, 32, 64, 128), res: 2 - train_loss","Test run at 20230620-083549 with (16, 32, 64, 128), res: 2 - train_loss__MIN","Test run at 20230620-083549 with (16, 32, 64, 128), res: 2 - train_loss__MAX"
"0","0.8860436376772429","0.8860436376772429","0.8860436376772429"
"1","0.747322194199813","0.747322194199813","0.747322194199813"
"2","0.6732190358011346","0.6732190358011346","0.6732190358011346"
"3","0.5426453938609676","0.5426453938609676","0.5426453938609676"
"4","0.3835681830581866","0.3835681830581866","0.3835681830581866"
"5","0.24297814055493003","0.24297814055493003","0.24297814055493003"
"6","0.1831182167718285","0.1831182167718285","0.1831182167718285"
"7","0.1563722196378206","0.1563722196378206","0.1563722196378206"
"8","0.13871097368629356","0.13871097368629356","0.13871097368629356"
"9","0.12579505514157446","0.12579505514157446","0.12579505514157446"
"10","0.11617486022020641","0.11617486022020641","0.11617486022020641"
"11","0.10974074758981403","0.10974074758981403","0.10974074758981403"
"12","0.10646514367116125","0.10646514367116125","0.10646514367116125"
"13","0.1026828062377478","0.1026828062377478","0.1026828062377478"
"14","0.0974925992520232","0.0974925992520232","0.0974925992520232"
"15","0.09485906660556793","0.09485906660556793","0.09485906660556793"
"16","0.0922902281347074","0.0922902281347074","0.0922902281347074"
"17","0.08996142745018006","0.08996142745018006","0.08996142745018006"
"18","0.08950482638258683","0.08950482638258683","0.08950482638258683"
"19","0.08840295946911762","0.08840295946911762","0.08840295946911762"
